radius,density,mass,gravity
4077.727,5.26846,2.520985114583824e+24,10.119049290564456
4090.519,5.26206,2.535102885082192e+24,10.112172853721527
4103.312,5.25566,2.5492930760231255e+24,10.105467495195757
4116.104,5.24925,2.5635535164039215e+24,10.098931653687739
4128.896,5.242850000000001,2.5778853717921756e+24,10.092562279645149
4141.688,5.23643,2.5922886872463305e+24,10.086356842334979
4154.481,5.230020000000001,2.606764641602523e+24,10.080312385884527
4167.273,5.2236,2.621311028203893e+24,10.07442745392878
4180.065,5.21718,2.635929016541398e+24,10.068699147075716
4192.857,5.21075,2.6506186467706534e+24,10.063125083724541
4205.649,5.20432,2.665379957775384e+24,10.057702917950206
4218.442,5.1978800000000005,2.680214150244618e+24,10.052429935162676
4231.234,5.191439999999999,2.695118941411803e+24,10.047304683041498
4244.026,5.18499,2.7100955223710887e+24,10.042324498161406
4256.818,5.17854,2.7251439269027924e+24,10.03748717095744
4269.61,5.17208,2.740264187507448e+24,10.03279052443346
4282.403,5.16562,2.7554575265879807e+24,10.028232065322225
4295.195,5.1591499999999995,2.770721598831224e+24,10.02381039251798
4307.987,5.15268,2.786057616966825e+24,10.019523058860836
4320.779,5.146199999999999,2.801465608360344e+24,10.01536801192409
4333.571,5.13971,2.8169455840399784e+24,10.011343175567912
4346.364,5.133220000000001,2.832498787960255e+24,10.007446259767605
4359.156,5.126720000000001,2.8481228119306325e+24,10.003675909236565
4371.948,5.120220000000001,2.863818890153897e+24,10.000029875516024
4384.74,5.11371,2.8795870433608056e+24,9.996506250203444
4397.532,5.107189999999999,2.895427275487877e+24,9.993103098656736
4410.325,5.10067,2.911340852034129e+24,9.989818317364298
4423.117,5.09414,2.9273253018062243e+24,9.986650591950857
4435.909,5.0876,2.94338186470456e+24,9.9835978029051
4448.701,5.08105,2.9595105387354504e+24,9.980658120542612
4461.494,5.0745,2.975712606394947e+24,9.977829579893184
4474.286,5.067939999999999,2.9919855458032704e+24,9.975110896635625
4487.078,5.06137,3.0083306134291196e+24,9.972500086826681
4499.87,5.05479,3.0247478013086207e+24,9.96999541871053
4512.662,5.04821,3.0412371162077994e+24,9.967595237622811
4525.455,5.0416099999999995,3.0577998455003705e+24,9.965297685448977
4538.247,5.035010000000001,3.0744333872906197e+24,9.963101458804823
4551.039,5.0283999999999995,3.0911390350261674e+24,9.96100478480849
4563.831,5.02179,3.1079167898240556e+24,9.95900609868931
4576.623,5.01516,3.1247666346895375e+24,9.957103803570517
4589.416,5.008520000000001,3.1416898606825484e+24,9.955296135552805
4602.208,5.00188,3.1586838186834124e+24,9.953581876334804
4615.0,4.995220000000001,3.1757498060238227e+24,9.951959344191733
4627.792,4.9885600000000005,3.1928877992582414e+24,9.950427025452873
4640.584,4.98189,3.210097790581623e+24,9.94898347989186
4653.377,4.9752,3.227381090856016e+24,9.947627079761864
4666.169,4.96851,3.244734969778878e+24,9.946356582200055
4678.961,4.961810000000001,3.262160762231375e+24,9.94517049265999
4691.753,4.95509,3.2796584191822137e+24,9.944067340202384
4704.545,4.94837,3.297227907415929e+24,9.943045726046323
4717.338,4.9416400000000005,3.314870592750533e+24,9.94210425530527
4730.13,4.93489,3.33258366277677e+24,9.941241658332695
4742.922,4.92814,3.3503684546974883e+24,9.940456510149502
4755.714,4.92137,3.368224928720696e+24,9.939747482516756
4768.506,4.9145900000000005,3.3861530251752354e+24,9.939113210624408
4781.299,4.9078,3.404154111641421e+24,9.938552361949476
4794.091,4.901,3.4222253289622703e+24,9.938063746093265
4806.883,4.89419,3.440368033857239e+24,9.937646051661394
4819.675,4.88737,3.458582178043866e+24,9.937298032673809
4832.468,4.88054,3.476869144812635e+24,9.937018442419845
4845.26,4.87369,3.495226004825342e+24,9.936806056019458
4858.052,4.86683,3.5136541113295503e+24,9.936659593009605
4870.844,4.85996,3.5321534089493663e+24,9.936577868977766
4883.636,4.85308,3.55072384062605e+24,9.936559714161119
4896.429,4.84618,3.569366789486491e+24,9.936603928466305
4909.221,4.839270000000001,3.5880792610263136e+24,9.936709310514972
4922.013,4.83235,3.606862646182019e+24,9.936874731826817
4934.805,4.82542,3.625716880726204e+24,9.937099079531137
4947.597,4.8184700000000005,3.6446418791074356e+24,9.937381200788348
4960.39,4.81151,3.663639042567255e+24,9.937719987945894
